state_code,lg_code,ward_code,pu_code,code,name,ward,lga,latitude,longitude,cvr_pu_id
12,01,06,004,12/01/06/004,"OKPE, PALACE SQUARE II",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28357236,6.02773982,34133
12,01,06,005,12/01/06/005,"OKPE, MATERNITY CENTRE",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28329538,6.02491742,34134
12,01,06,006,12/01/06/006,"OKPE,  AJAMA PRIMARY SCHOOL",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28125577,6.02043401,34135
12,01,06,007,12/01/06/007,"OKPE, AJAMA  P.S. I",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28125253,6.02042895,34136
12,01,06,008,12/01/06/008,"OKPE,  OLOMA P.S. II",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.26777935,6.05226405,34137
12,01,06,009,12/01/06/009,"OKPE,  OYONBUNI HALL",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.27823789,6.00825232,34138
12,01,06,010,12/01/06/010,"OKPE,  AIYETEJU OKPE",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.34315286,5.99778513,34139
12,01,06,011,12/01/06/011,"OKPE,  OGBALISHE P.S.",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.35148667,6.02773886,34140
12,01,06,012,12/01/06/012,"ANYARAN, ANYARA PS.",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.48129016,5.96558749,34141
12,01,06,013,12/01/06/013,"IJAJAH, HEALTH CENTRE",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.25517526,5.93927345,34142
12,01,06,014,12/01/06/014,"IKAKUMOH, IKAKUMOH P.S. I",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.52828017,6.01558274,34143
12,01,06,015,12/01/06/015,"IKAKUMOH,  IKAKMOH P.S II",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.52831866,6.01581614,34144
12,01,07,001,12/01/07/001,"SOMORIKA, PUBLIC FORUM",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.31818498,6.12519689,34145
12,01,07,002,12/01/07/002,"SOMORIKA, EKPERE",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.31692104,6.12402589,34146
12,01,07,003,12/01/07/003,ESHAWA PUBLIC SQUARE,SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.35298493,6.04720393,34147
12,01,07,004,12/01/07/004,"ONUMU, NR. ANG. CHURCH",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.35853516,6.13795748,34148
12,01,07,005,12/01/07/005,"OGBE, APIASA PRIMARY S CHOOL    I",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.35309752,6.10905105,34149
12,01,07,006,12/01/07/006,"OGBE, APIASA  PRIMARY SCHOOL  II",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.35310499,6.10904573,34150
12,01,07,007,12/01/07/007,"SASARO, MATERNITY CENTRE",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.21059081,6.14773713,34151
12,01,07,008,12/01/07/008,"AIYEGUNLE, BY CHIEF ALIU'S COMP I",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.34857203,6.07963340,34152
12,01,07,009,12/01/07/009,AIYEGUNLE  BY CHIEF ALIU'S COMP II,SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.35319666,6.07894039,34153
12,01,07,010,12/01/07/010,"UGBOSHI-ELE,  BY ELUKA'S COMP",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.33930334,6.05848561,34154
12,01,07,011,12/01/07/011,"UGBOSHI-ELE,  OPPOSITE SAMSONS COMP",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.33810055,6.06058012,34155
12,01,07,012,12/01/07/012,"UGBOSHI-AFE, BY MARKET SQUARE I",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.39595038,6.06190020,34156
12,01,07,013,12/01/07/013,UGBOSHI-AFE  BY MARKET SQUARE II,SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.39593532,6.06189720,34157
