state,lg,ward,state_code,lg_code,ward_code,pu_code,code,location,ward_des,lg_des
EDO,01,05,12,01,05,002,12/01/05/002,"DANGBALA, DANGBALA P.S. II",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,003,12/01/05/003,"DANGBALA, OLD DANGBALA COURT HALL",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,004,12/01/05/004,"MAKEKE, ERESHA P.S.",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,005,12/01/05/005,"MAKEKE, BY AGBALA'S HOUSE",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,006,12/01/05/006,"MAKEKE,  ILETEJU PRIMARY SCHOOL",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,007,12/01/05/007,"ANYANWOSA, ANYANWOSA OJUTAIYE",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,008,12/01/05/008,"OJAH, OYONBA P.S. I",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,009,12/01/05/009,"OJAH, ONYONBA P.S. II",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,010,12/01/05/010,"OJAH, BY OBA'S HOUSE I",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,011,12/01/05/011,"OJAH,  BY OBA'S HOUSE II",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,012,12/01/05/012,"OJAH, OJAH COMM. HIGH SCHOOL",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,013,12/01/05/013,"OJIRAMI, DAM P.S.",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,014,12/01/05/014,"OJIRAMI, DISPENSARY YARD PSH",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,015,12/01/05/015,"OJIRAMI,  AFEKUNU DISPENSARY",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,016,12/01/05/016,"OJIRAMI, AFEKUNU MARKET",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,017,12/01/05/017,"OPEN SPACE -MAKEKE, BY OGBOYARA SQR, OPPOSITE ANGLICAN CHURCH",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,018,12/01/05/018,"OPEN SPACE BY OJIRAMI DAM, ILETEJU MKT SQUARE",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,019,12/01/05/019,"OPEN SPACE -OJIRAMI PETESHI, ODOKEME QTRS",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,020,12/01/05/020,"OPEN SPACE -OJIRAMI AFE, ODIKPAIGBE QTRS",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,021,12/01/05/021,"OPEN SPACE, , OJIRAMI AFE, AFEKHAFE QTRS I",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,05,12,01,05,000,12/01/05/000,12/01/05/000,Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
EDO,01,06,12,01,06,001,12/01/06/001,"OKPE,  IDOGUN PS. I",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,002,12/01/06/002,"OKPE, IDOGUN  PS. II",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
